"People, B2B AI Startups, Marketing Tech","First Name","Last Name","Full Name","Job Title","Company","City","State or Province","Country","LinkedIn Profile","Enrich person","Connections","Headline","Summary","Jobs Count","Summarize LinkedIn profile"
,"Gary","Vaynerchuk","Gary Vaynerchuk","CEO","Vayner3","","New York","United States","https://www.linkedin.com/in/garyvaynerchuk/",,,,,,
,"Kevin","O'Leary","Kevin O'Leary","Investor, Strategic Advisor","Tax Hive","West Palm Beach","Florida","United States","https://www.linkedin.com/in/kevinolearytv/","Kevin O'Leary",427,"Chairman, O’Leary Ventures and Beanstox","Kevin O'Leary's success story starts where most entrepreneurs begin: with a big idea and zero cash. From his basement, he launched SoftKey Software Products. As sales took off, Kevin moved to headquarters in Cambridge, Massachusetts and went on an industry consolidating acquisition binge.

From 1995 to 1999 he bought out almost every one of his software competitors, including Mindscape, Broderbund and the Learning Company in the industry's first vicious public hostile battle. Shareholders loved his take-no-prisoners, cost cutting style and fueled him with billions to do his deals.

In 1999 Kevin sold his company to the Mattel Toy Company for $4.2 billion, one of the largest deals ever done in the consumer software industry. To keep his money working hard, he took control of his wealth from his lackluster money managers and founded his own mutual fund company, O'Leary Funds. He raised hundreds of millions of dollars from investors who share his ""get paid while you wait"" yield oriented, value investing philosophy. He shares his tips and tribulations with a national television audience and turns The Street upside down in the process.

As a self-proclaimed ""Eco-preneur,"" Kevin looks hardest for investments that make money - and are environmentally friendly. When he's not squeezing the market from his office, he travels the world looking for new opportunities to deploy his capital. He is on the investment committee of Boston's prestigious 200-year-old Hamilton Trust.

He launched O’Shares ETFs, a group of exchange traded funds. He is O'Shares Chairman.",12,"Kevin O'Leary is a successful entrepreneur and media personality known for his investments."
,"Ryan","Reynolds","Ryan Reynolds","Co-Founder","Group Effort Initiative","New York","New York","United States","https://www.linkedin.com/in/vancityreynolds/",,,,,,
,"Steven","Bartlett","Steven Bartlett","Investor","Stan","","","United Kingdom","https://www.linkedin.com/in/stevenbartlett-123/","Steven Bartlett",29029,"Founder: Steven.com The Creator Economy Company, home to FlightStory & FlightCast.","Steven Bartlett is a 33-year-old British entrepreneur, investor in more than 100 companies, speaker, author, and media owner. He is the founder of Steven.com - the creator media company. Through it's podcast creator ""label"" called FlightStory, they create and scales new media podcast IP and commercialise that IP through brand partnerships, programmatic revenue, events, book publishing, newsletters, e-commerce, and new product development.

He is also the co-founder of thirdweb, a developer platform powering over 100,000 teams to build and launch web3 applications, and FlightCast, a video-first podcast hosting platform used by some of the world’s largest shows.

Steven first gained recognition as the co-founder and CEO of Social Chain AG, a social media marketing and e-commerce company he launched at 21 and took public on a European stock exchange by the age of 27 via reverse merger. Social Chain AG became a globally recognised business with hundreds of employees across London, Manchester, Berlin, New York, and Los Angeles, working with major brands including Amazon, Apple, and Coca-Cola.

Through his Fund and personal investments, he has backed companies including SpaceX, Huel, ZOE, Whoop, MrBeast, Groq, KetoneIQ, Cadence, PerfectTed, and over 60 others - focusing on businesses that improve human health, happiness, and performance.

Steven is also the creator and host of The Diary of a CEO, currently the world's most downloaded / watched podcast and the fastest-growing podcast in the world. He is the youngest-ever investor on BBC’s Dragons’ Den.

Reach My Team 
Commercial & Speaking: commercial@stevenbartlett.com
Press: press@stevenbartlett.com
Podcast Enquiries: bookings@stevenbartlett.com
Events: events@stevenbartlett.com
Fund & Venture Investments: www.flightfund.com",25,"Unique aspects about Steven Bartlett:"
,"Tiến","Duy","Tiến Nguyễn Duy","Embaixadora","121 Smart Shop","Thai Nguyen","","Vietnam","https://www.linkedin.com/in/nguyenduytienvn/","Carolina Martins",500,"Mulher mais seguida do LinkedIn na América Latina | Founder-Led Growth | LinkedIn para Executivos | Palestrante","O LinkedIn é uma sala de reunião antecipada.<br><br>70% dos decisores afirmam que estão mais propensos a fazer negócios com líderes que produzem conteúdo relevante na rede.<br>Ainda assim, a maioria dos perfis não reflete o verdadeiro valor de quem está por trás. E isso custa autoridade, negócios e oportunidades todos os dias.<br><br>Sou Carolina Martins, a mulher mais seguida do LinkedIn na América Latina e África, com 3 milhões de seguidores e reconhecida entre os 50 maiores creators globais da plataforma.<br><br>À frente Elevarum, agência de construção de Branding & Autoridade no LinkedIn, já posicionamos nomes como Whindersson Nunes, Nathalia Arcuri, Kaká Diniz, Natalia Beauty, Pedro Sobral, Janguiê Diniz, El Professor da Oratória além de executivos do mercado tradicional e founders de stratups.<br><br>Nos bastidores, o meu trabalho é transformar perfis em plataformas de thought leadership, que ampliam influência, geram negócios e constroem reputação de longo prazo.<br><br>O que entregamos vai além de visibilidade:<br> Perfis que transmitem autoridade instantânea<br> Conteúdo que gera confiança, identificação e influência<br> Presença digital que abre portas para negócios e carreira<br><br>Se você ou sua empresa ainda não exploram o potencial do LinkedIn, estão invisíveis para as melhores oportunidades do mercado.<br><br>Me envie uma mensagem e vamos conversar sobre como transformar seu perfil em um ativo de autoridade,branding e reputação.<br>Contato: carolinamartins@elevarum.com.br",5,"1. Most followed woman on LinkedIn in Latin America, with over 3 million followers.
2. Founder of..."
,"Reid","Hoffman","Reid Hoffman","Co-Founder, Board Member","Inflection AI","","","United States","https://www.linkedin.com/in/reidhoffman/","Reid Hoffman",4324,"Co-Founder, LinkedIn, Manas AI & Inflection AI. Founding Team, PayPal.  Author of Superagency.  Podcaster of Possible and Masters of Scale.  ","My current priority is investing in and building with AI to benefit humanity.  Recently, I've co-founded Inflection.AI and ManasAI.co.  

I am active in all facets of the consumer internet and software industries. My focus spans product development, innovation, business strategy, and finance. My expertise also extends to general management, operations, business development, talent management, and marketing. I have founding and investing experience with seed-stage to massive scale companies such as LinkedIn, OpenAI, PayPal, Airbnb, Facebook/Meta, Mozilla, and Zynga, as well as world-scale companies like Microsoft.

My specialties include general management, product development, strategy, negotiation, financing, deal structuring, international business, marketing, brand development and management, business development, public relations, press strategy, payments infrastructure, financial services, mergers and acquisitions, startups, software development, operations centers, board management, and investing.",33,"1. Co-founded LinkedIn, revolutionizing professional networking, now with over 1 billion users.
2..."
,"Tim","Tebow","Tim Tebow","Board Member","DejaVuAI","Jacksonville","Florida","United States","https://www.linkedin.com/in/timtebow15/","Tim Tebow",500,"Follower of Jesus Christ, 7x NYT Best-Selling Author, 2x National Champion, Heisman Trophy Winner, Founder & Chairman of the Tim Tebow Foundation, The Tebow Group and ESPN Analyst.","Tim Tebow is a speaker, entrepreneur, college football analyst for ESPN and SEC Network, and the author of seven New York Times bestsellers, including Shaken, This is the Day, and the children’s book Bronco and Friends: A Party to Remember. Prior to his current endeavors, Tim was an NFL quarterback, a two-time NCAAF national champion, Heisman Trophy winner, and College Football Hall of Fame inductee.
He’s also the founder of the Tim Tebow Foundation, dedicated to bringing Faith, Hope and Love to those needing a brighter day in their darkest hour of need. Since 2010, the foundation has served some of the world’s Most Vulnerable People – the real MVPs - across more than 100 countries through ministry focuses in Anti-Human Trafficking & Child Exploitation, Orphan Care + Prevention, Profound Medical Needs, and Special Needs. Tim is married to Demi-Leigh Tebow—speaker, author, entrepreneur, and former Miss Universe 2017. They live in Jacksonville, Florida with their three dogs, Chunk, Kobe, and Paris, and their first child, a daughter, Daphne.

Tim Tebow | Faith and Mission Work
Tim Tebow grew up the son of missionaries, and even after moving to Florida as a child, he returned to the Philippines as a teenager–to spread God’s word, and do the Lord’s work, by serving the needy. He carried that calling with him to the University of Florida, where in addition to leading the Gators to two national championships, and winning the Heisman Trophy in 2007, he also devoted himself to charity–raising money for pediatric cancer patients and disadvantaged children.

Tim Tebow | Tim Tebow Foundation
In 2010, his vision took shape in the Tim Tebow Foundation. The Tim Tebow Foundation exists to bring Faith, Hope and Love to those needing a brighter day in their darkest hour of need. The foundation fulfills this mission every day by making dreams come true for children with life-threatening illnesses, building Timmy’s Playrooms in children’s hospitals, providing life-changing surgeries to children of the Philippines through the Tebow CURE Hospital, sponsoring Night to Shine, a nationwide prom for people with special needs, providing care for orphans in four countries and adoption aid grants for families who choose to adopt an international child with special needs.",17,"1. Founder of the Tim Tebow Foundation, serving vulnerable populations in 100+ countries.
2. Seve..."
,"Andrew","Huberman","Andrew Huberman","Scientific Advisor","Function Health","Stanford","California","United States","https://www.linkedin.com/in/andrew-huberman/",,,,,,
,"Steve","Nouri","Steve Nouri","Advisor - founding member","Wand","","","Singapore","https://www.linkedin.com/in/stevenouri/",,,,,,
,"Ryan","Holmes","Ryan Holmes","Co-Founder & Chairman","LOI Venture","Vancouver","British Columbia","Canada","https://www.linkedin.com/in/rholmes/","Ryan Holmes",500,"Founder, CEO, and Board Member at Hootsuite","Ryan Holmes co-founded Hootsuite in 2008 and returned as Chief Executive Officer in 2026. 

A serial entrepreneur, Ryan started his first business in high school and went on to open a string of ventures - from a pizza restaurant to a digital media agency - before founding Hootsuite. He led the company for more than a decade, helping it grow into the world's most widely used social media management and intelligence platform. 

Now he’s focused on Hootsuite’s next chapter: accelerating the company’s AI agenda - rebuilding core capabilities for the AI era and helping the world’s best brands move at the speed of culture.

Beyond Hootsuite, Ryan invests in emerging technology companies through LOI Venture (loi.vc), a seed fund focused on backing founders under 30, and founded League of Innovators (theleagueofinnovators.org), a charity supporting the next generation of entrepreneurs. He is also an active angel investor and advisor, whose Maple Syrup Mafia syndicate is dedicated to accelerating Canadian startups. 

A tech optimist at heart, he is always looking for better ways to solve problems using technology. Ryan is the author of Saving Social: The Dysfunctional Past and Promising Future of Social Media, and the Amazon best-selling guide to social media for leaders, The $4 Billion Tweet. 

Twitter: @invoker
Startup pitches: https://www.loi.vc/pitch/
AngelList: https://angel.co/ryan-holmes/syndicate",17,"1. Co-founded Hootsuite, revolutionizing social media management with over a decade of leadership..."
